fecha,componente,contribucion_pp,inflacion_total
2026-01-01,Resto,0.08874088307151896,0.3706976698428082
2026-01-01,Transporte,-0.046391901530603054,0.3706976698428082
2026-01-01,Vivienda,0.03340035971977881,0.3706976698428082
2026-02-01,Alimentos y bebidas,-0.13276860932230894,0.03766846101055529
2026-02-01,Bienes y servicios diversos,0.0410854269391363,0.03766846101055529
2026-02-01,Restaurantes y hoteles,0.06472403860594401,0.03766846101055529
2026-02-01,Resto,0.06113722562313545,0.03766846101055529
2026-02-01,Transporte,-0.033739994055961016,0.03766846101055529
2026-02-01,Vivienda,0.037230373220609486,0.03766846101055529
2026-03-01,Alimentos y bebidas,-0.0350613321738955,0.26456794070781864
2026-03-01,Bienes y servicios diversos,0.03950881382478588,0.26456794070781864
2026-03-01,Restaurantes y hoteles,0.045383775428165296,0.26456794070781864
2026-03-01,Resto,0.01926672811053983,0.26456794070781864
2026-03-01,Transporte,0.16471396704129065,0.26456794070781864
2026-03-01,Vivienda,0.030755988476932502,0.26456794070781864
2026-04-01,Alimentos y bebidas,-0.015878526014979903,0.4794483122789184
2026-04-01,Bienes y servicios diversos,0.06881024493137786,0.4794483122789184
2026-04-01,Restaurantes y hoteles,0.04203634617759853,0.4794483122789184
2026-04-01,Resto,0.06522330129111238,0.4794483122789184
2026-04-01,Transporte,0.2959258274420185,0.4794483122789184
2026-04-01,Vivienda,0.023331118451791005,0.4794483122789184
2026-05-01,Alimentos y bebidas,-0.1386021771137333,0.2938861692074961
2026-05-01,Bienes y servicios diversos,0.042836383817398044,0.2938861692074961
2026-05-01,Restaurantes y hoteles,0.03515720241657137,0.2938861692074961
2026-05-01,Resto,-0.019381314676857553,0.2938861692074961
2026-05-01,Transporte,0.3600938864494253,0.2938861692074961
2026-05-01,Vivienda,0.013782188314692205,0.2938861692074961
2026-06-01,Alimentos y bebidas,0.09659599407680726,0.48126545300887014
2026-06-01,Bienes y servicios diversos,0.08782154031652763,0.48126545300887014
2026-06-01,Restaurantes y hoteles,0.057467130140301186,0.48126545300887014
2026-06-01,Resto,0.03810552928360596,0.48126545300887014
2026-06-01,Transporte,0.18914475049962026,0.48126545300887014
2026-06-01,Vivienda,0.012130508692007855,0.48126545300887014
