producto,anio,mes,indice_base
Pollo fresco,2024,11,111.66821554018934
Pollo fresco,2024,12,115.38771717044435
Pollo fresco,2025,1,118.48520169483517
Pollo fresco,2025,2,118.60900656827381
Pollo fresco,2025,3,116.16913698867485
Pollo fresco,2025,4,113.72406949454219
Pollo fresco,2025,5,113.04739552979348
Pollo fresco,2025,6,116.2018208452124
Pollo fresco,2025,7,119.34049490446863
Pollo fresco,2025,8,125.10159560224928
Pollo fresco,2025,9,124.0886323184274
Pollo fresco,2025,10,123.04708050467023
Pollo fresco,2025,11,122.34457447981477
Pollo fresco,2025,12,127.8921669003103
Pollo fresco,2026,1,137.75111440137348
Pollo fresco,2026,2,135.21201190794966
Pollo fresco,2026,3,132.3371713894183
Pollo fresco,2026,4,127.63865043237199
Pollo fresco,2026,5,119.21062579740733
