fecha,producto,inflacion_interanual,compra,dolar_interanual
2024-11-01,Carnes,-1.2682975702514976,60.08370000000001,6.011288589490937
2024-12-01,Carnes,1.3692303211283452,60.5631,6.79815898991325
2025-01-01,Carnes,2.26009553955564,61.2609,7.038284057889976
2025-02-01,Carnes,1.43160923305381,61.9837,5.932588647876336
2025-03-01,Carnes,0.6909353760552017,62.7121,6.513206278141159
2025-04-01,Carnes,0.6181907589572377,60.4155,2.7658000153088613
2025-05-01,Carnes,2.399441719268758,58.7366,0.5922165820642977
2025-06-01,Carnes,2.266255068636158,59.0169,0.05085874999364304
2025-07-01,Carnes,1.1288315146603223,60.1943,2.0572761690649033
2025-08-01,Carnes,2.6444678423561685,61.7014,3.7680223474585883
2025-09-01,Carnes,2.1717366447735698,62.4361,4.394402746125525
2025-10-01,Carnes,4.234864210109857,63.2408,5.418727423358183
2025-11-01,Carnes,7.438555910107891,63.3838,5.492504622717953
2025-12-01,Carnes,8.359934378766965,63.0851,4.1642518299096265
2026-01-01,Carnes,11.002886903416575,63.1114,3.020686930815586
2026-02-01,Carnes,10.06087509974285,61.6124,-0.5990284542549018
2026-03-01,Carnes,10.381868133732208,59.8943,-4.493231768669837
2026-04-01,Carnes,9.687156688604382,59.6398,-1.2839420347427355
2026-05-01,Carnes,6.820815193171326,58.7974,0.10351297146924399
2021-09-01,Pechuga de pollo,11.098580276668702,56.5349,NA
2021-10-01,Pechuga de pollo,18.01412437847285,56.2688,NA
2021-11-01,Pechuga de pollo,14.028874204281717,56.4591,NA
2021-12-01,Pechuga de pollo,14.230447317027807,56.8245,NA
2022-01-01,Pechuga de pollo,12.986526641429563,57.524,NA
2022-02-01,Pechuga de pollo,11.13380541484088,56.3803,NA
2022-03-01,Pechuga de pollo,13.233985765124556,54.8247,NA
2022-04-01,Pechuga de pollo,16.46104069260992,54.9475,NA
2022-05-01,Pechuga de pollo,16.32503853776699,55.0592,NA
2022-06-01,Pechuga de pollo,15.961145282481738,54.733,NA
2022-07-01,Pechuga de pollo,14.784359650527001,54.4699,NA
2022-08-01,Pechuga de pollo,11.727807933878864,53.5684,NA
2022-09-01,Pechuga de pollo,11.074545246164668,53.1725,-5.947476691388864
2022-10-01,Pechuga de pollo,10.255363948715024,53.6738,-4.611791969972701
2022-11-01,Pechuga de pollo,10.473660550083764,54.206,-3.9906764365708947
2022-12-01,Pechuga de pollo,11.138791194477026,55.2363,-2.7949212047620353
2023-01-01,Pechuga de pollo,-0.03761159186379537,56.3664,-2.0123774424588015
2023-02-01,Pechuga de pollo,12.928193793365871,55.8418,-0.9551208489490093
2023-03-01,Pechuga de pollo,9.913180121783526,54.7709,-0.09813095192495735
2023-04-01,Pechuga de pollo,6.262354889674171,54.5299,-0.7599981800809896
2023-05-01,Pechuga de pollo,4.20799951536448,54.3775,-1.2381218760897372
2023-06-01,Pechuga de pollo,2.576234368141872,54.7738,0.07454369393236071
2023-07-01,Pechuga de pollo,1.5332388928442908,55.7369,2.326055307610253
2023-08-01,Pechuga de pollo,2.603459537211683,56.4882,5.450601474003336
2023-09-01,Pechuga de pollo,2.733892483896172,56.6217,6.486811791809677
2023-10-01,Pechuga de pollo,2.1625942841069667,56.6767,5.594722192205492
2023-11-01,Pechuga de pollo,1.4886171102183265,56.708,4.615725196472709
2023-12-01,Pechuga de pollo,1.0367434841847656,57.2327,3.6142898782141497
2024-02-01,Pechuga de pollo,-0.15828761060672214,58.5124,3.807232677623551
2024-03-01,Pechuga de pollo,-1.0034341594912566,58.8773,5.435892109495044
2024-04-01,Pechuga de pollo,-1.8136133588768533,58.7895,7.337107843763757
2024-05-01,Pechuga de pollo,-1.9190381106977128,58.3908,7.080335742409205
2024-06-01,Pechuga de pollo,0.5035061584856226,58.9869,8.476667739414289
2024-07-01,Pechuga de pollo,2.0927011110788873,58.9809,7.68086201797209
2024-08-01,Pechuga de pollo,2.876312351848709,59.4609,6.681390604787851
