"row_id","period","year","month","series","value"
24,2022-04-01,2022,4,"Región Ozama*",48243.9331903562
24,2022-04-01,2022,4,"Región Sur",33313.9587527552
25,2022-05-01,2022,5,"Región Este",38522.0576748765
25,2022-05-01,2022,5,"Región Norte o Cibao",39829.6574195502
25,2022-05-01,2022,5,"Región Ozama*",48417.2930660984
25,2022-05-01,2022,5,"Región Sur",33528.8660781978
26,2022-06-01,2022,6,"Región Este",38763.1239041634
26,2022-06-01,2022,6,"Región Norte o Cibao",40134.5418210832
26,2022-06-01,2022,6,"Región Ozama*",48669.6418540492
26,2022-06-01,2022,6,"Región Sur",33779.4989770709
27,2022-07-01,2022,7,"Región Este",38910.695528308
27,2022-07-01,2022,7,"Región Norte o Cibao",40353.9383728983
27,2022-07-01,2022,7,"Región Ozama*",48926.147953169
27,2022-07-01,2022,7,"Región Sur",33907.1694371598
28,2022-08-01,2022,8,"Región Este",38984.3184577929
28,2022-08-01,2022,8,"Región Norte o Cibao",40476.1592830419
28,2022-08-01,2022,8,"Región Ozama*",49003.889672027
28,2022-08-01,2022,8,"Región Sur",33965.0504049659
29,2022-09-01,2022,9,"Región Este",39134.1704381605
29,2022-09-01,2022,9,"Región Norte o Cibao",40578.6779153208
29,2022-09-01,2022,9,"Región Ozama*",49156.8787230417
29,2022-09-01,2022,9,"Región Sur",34053.1180976086
30,2022-10-01,2022,10,"Región Este",39300.3106772637
30,2022-10-01,2022,10,"Región Norte o Cibao",40724.9422831976
30,2022-10-01,2022,10,"Región Ozama*",49250.4182243414
30,2022-10-01,2022,10,"Región Sur",34138.1394235247
31,2022-11-01,2022,11,"Región Este",39496.0955472656
31,2022-11-01,2022,11,"Región Norte o Cibao",40957.3623746182
31,2022-11-01,2022,11,"Región Ozama*",49437.081495824
31,2022-11-01,2022,11,"Región Sur",34302.0893419035
32,2022-12-01,2022,12,"Región Este",39833.914033442
32,2022-12-01,2022,12,"Región Norte o Cibao",41331.0377802211
32,2022-12-01,2022,12,"Región Ozama*",49939.7004161413
