"row_id","period","year","month","series","value"
15,2018-11-01,2018,11,"Quintil 3",30717.1721377534
15,2018-11-01,2018,11,"Quintil 4",36251.6104732471
15,2018-11-01,2018,11,"Quintil 5",57055.7544029644
16,2018-12-01,2018,12,"Nacional",33758.4907904005
16,2018-12-01,2018,12,"Quintil 1",19487.5870107984
16,2018-12-01,2018,12,"Quintil 2",25627.6841260404
16,2018-12-01,2018,12,"Quintil 3",30698.4006629156
16,2018-12-01,2018,12,"Quintil 4",36179.2130638989
16,2018-12-01,2018,12,"Quintil 5",56783.9966908865
18,2019-01-01,2019,1,"Nacional",33701.2023919595
18,2019-01-01,2019,1,"Quintil 1",19468.5059961761
18,2019-01-01,2019,1,"Quintil 2",25586.8199372289
18,2019-01-01,2019,1,"Quintil 3",30646.7791071116
18,2019-01-01,2019,1,"Quintil 4",36117.9537175273
18,2019-01-01,2019,1,"Quintil 5",56685.9857127601
19,2019-02-01,2019,2,"Nacional",33826.1952612853
19,2019-02-01,2019,2,"Quintil 1",19541.8945139542
19,2019-02-01,2019,2,"Quintil 2",25680.2237973694
19,2019-02-01,2019,2,"Quintil 3",30761.7543904933
19,2019-02-01,2019,2,"Quintil 4",36254.3949889912
19,2019-02-01,2019,2,"Quintil 5",56895.3728023938
20,2019-03-01,2019,3,"Nacional",34047.5368007163
20,2019-03-01,2019,3,"Quintil 1",19678.3971570215
20,2019-03-01,2019,3,"Quintil 2",25847.5723801211
20,2019-03-01,2019,3,"Quintil 3",30956.5084419358
20,2019-03-01,2019,3,"Quintil 4",36485.5097957567
20,2019-03-01,2019,3,"Quintil 5",57260.6864481378
21,2019-04-01,2019,4,"Nacional",34227.2140503721
21,2019-04-01,2019,4,"Quintil 1",19795.8187854665
21,2019-04-01,2019,4,"Quintil 2",25989.6240840847
21,2019-04-01,2019,4,"Quintil 3",31118.412412412
21,2019-04-01,2019,4,"Quintil 4",36680.4258978481
21,2019-04-01,2019,4,"Quintil 5",57550.2643380568
22,2019-05-01,2019,5,"Nacional",34216.7979779283
22,2019-05-01,2019,5,"Quintil 1",19788.4799336886
22,2019-05-01,2019,5,"Quintil 2",25979.89451532
22,2019-05-01,2019,5,"Quintil 3",31113.7195437026
22,2019-05-01,2019,5,"Quintil 4",36672.0723506156
22,2019-05-01,2019,5,"Quintil 5",57527.9891157554
23,2019-06-01,2019,6,"Nacional",34154.3015432654
23,2019-06-01,2019,6,"Quintil 1",19810.4964890221
23,2019-06-01,2019,6,"Quintil 2",25995.4618253435
23,2019-06-01,2019,6,"Quintil 3",31099.6409375742
23,2019-06-01,2019,6,"Quintil 4",36605.2439727557
23,2019-06-01,2019,6,"Quintil 5",57291.8717593599
24,2019-07-01,2019,7,"Nacional",34313.1466480336
24,2019-07-01,2019,7,"Quintil 1",19966.0801467117
24,2019-07-01,2019,7,"Quintil 2",26162.8104080951
24,2019-07-01,2019,7,"Quintil 3",31268.5842111147
24,2019-07-01,2019,7,"Quintil 4",36763.9613701729
24,2019-07-01,2019,7,"Quintil 5",57465.6184933113
25,2019-08-01,2019,8,"Nacional",34430.3274630265
25,2019-08-01,2019,8,"Quintil 1",20045.339745912
25,2019-08-01,2019,8,"Quintil 2",26258.1601819885
25,2019-08-01,2019,8,"Quintil 3",31381.2130601417
25,2019-08-01,2019,8,"Quintil 4",36886.4800629161
25,2019-08-01,2019,8,"Quintil 5",57643.820271723
26,2019-09-01,2019,9,"Nacional",34560.5283685742
26,2019-09-01,2019,9,"Quintil 1",20146.6159004458
26,2019-09-01,2019,9,"Quintil 2",26371.0231796582
26,2019-09-01,2019,9,"Quintil 3",31507.920515297
26,2019-09-01,2019,9,"Quintil 4",37017.3523028917
26,2019-09-01,2019,9,"Quintil 5",57826.477094595
27,2019-10-01,2019,10,"Nacional",34792.285980449
27,2019-10-01,2019,10,"Quintil 1",20316.877261691
27,2019-10-01,2019,10,"Quintil 2",26565.6145549509
27,2019-10-01,2019,10,"Quintil 3",31728.4853446415
27,2019-10-01,2019,10,"Quintil 4",37262.3896883779
27,2019-10-01,2019,10,"Quintil 5",58169.5155180375
28,2019-11-01,2019,11,"Nacional",34922.4868859967
28,2019-11-01,2019,11,"Quintil 1",20400.5401719581
28,2019-11-01,2019,11,"Quintil 2",26674.5857251148
28,2019-11-01,2019,11,"Quintil 3",31852.8463654421
28,2019-11-01,2019,11,"Quintil 4",37404.3999913302
28,2019-11-01,2019,11,"Quintil 5",58365.5374742903
29,2019-12-01,2019,12,"Nacional",34992.7953749924
29,2019-12-01,2019,12,"Quintil 1",20418.1534162248
29,2019-12-01,2019,12,"Quintil 2",26711.5580864204
29,2019-12-01,2019,12,"Quintil 3",31906.8143556009
29,2019-12-01,2019,12,"Quintil 4",37490.7199793992
29,2019-12-01,2019,12,"Quintil 5",58521.4640304006
31,2020-01-01,2020,1,"Nacional",35107.3721718744
31,2020-01-01,2020,1,"Quintil 1",20487.1386229362
31,2020-01-01,2020,1,"Quintil 2",26791.3405502903
31,2020-01-01,2020,1,"Quintil 3",31998.3252954353
31,2020-01-01,2020,1,"Quintil 4",37604.8851249099
31,2020-01-01,2020,1,"Quintil 5",58735.3061644946
32,2020-02-01,2020,2,"Nacional",35063.1038639882
32,2020-02-01,2020,2,"Quintil 1",20487.1386229362
32,2020-02-01,2020,2,"Quintil 2",26785.5028090316
32,2020-02-01,2020,2,"Quintil 3",31979.5538205975
32,2020-02-01,2020,2,"Quintil 4",37560.3328730033
32,2020-02-01,2020,2,"Quintil 5",58597.1997862255
33,2020-03-01,2020,3,"Nacional",34880.8225962214
33,2020-03-01,2020,3,"Quintil 1",20416.6856458692
33,2020-03-01,2020,3,"Quintil 2",26686.2612076323
33,2020-03-01,2020,3,"Quintil 3",31841.1141936685
33,2020-03-01,2020,3,"Quintil 4",37362.6322551678
33,2020-03-01,2020,3,"Quintil 5",58214.0659626404
34,2020-04-01,2020,4,"Nacional",34594.3806040166
34,2020-04-01,2020,4,"Quintil 1",20297.7962470687
34,2020-04-01,2020,4,"Quintil 2",26534.4799349041
34,2020-04-01,2020,4,"Quintil 3",31622.8957986787
34,2020-04-01,2020,4,"Quintil 4",37047.9819760775
34,2020-04-01,2020,4,"Quintil 5",57621.5450494215
35,2020-05-01,2020,5,"Nacional",34555.3203323522
35,2020-05-01,2020,5,"Quintil 1",20165.6969150681
35,2020-05-01,2020,5,"Quintil 2",26419.6710234814
35,2020-05-01,2020,5,"Quintil 3",31531.3848588443
35,2020-05-01,2020,5,"Quintil 4",36995.0761769384
35,2020-05-01,2020,5,"Quintil 5",57773.0165610714
36,2020-06-01,2020,6,"Nacional",35143.8284254277
36,2020-06-01,2020,6,"Quintil 1",20513.5584893363
36,2020-06-01,2020,6,"Quintil 2",26847.7720491252
36,2020-06-01,2020,6,"Quintil 3",32033.5218107563
36,2020-06-01,2020,6,"Quintil 4",37579.8244832124
36,2020-06-01,2020,6,"Quintil 5",58833.317142621
37,2020-07-01,2020,7,"Nacional",35805.2490256099
37,2020-07-01,2020,7,"Quintil 1",20977.373921694
37,2020-07-01,2020,7,"Quintil 2",27421.8166062385
37,2020-07-01,2020,7,"Quintil 3",32674.0983895972
37,2020-07-01,2020,7,"Quintil 4",38287.0914822296
37,2020-07-01,2020,7,"Quintil 5",59791.1517015839
38,2020-08-01,2020,8,"Nacional",36083.8789634819
38,2020-08-01,2020,8,"Quintil 1",21153.5063643614
38,2020-08-01,2020,8,"Quintil 2",27663.1099116014
38,2020-08-01,2020,8,"Quintil 3",32950.9776434552
38,2020-08-01,2020,8,"Quintil 4",38601.7417613199
38,2020-08-01,2020,8,"Quintil 5",60187.6506585499
39,2020-09-01,2020,9,"Nacional",36300.0124666911
39,2020-09-01,2020,9,"Quintil 1",21309.090022051
39,2020-09-01,2020,9,"Quintil 2",27847.9717181294
39,2020-09-01,2020,9,"Quintil 3",33159.810301026
39,2020-09-01,2020,9,"Quintil 4",38830.0720523412
39,2020-09-01,2020,9,"Quintil 5",60508.4138596909
40,2020-10-01,2020,10,"Nacional",36540.606724531
40,2020-10-01,2020,10,"Quintil 1",21512.1821627884
40,2020-10-01,2020,10,"Quintil 2",28062.0972000871
40,2020-10-01,2020,10,"Quintil 3",33407.4952450927
40,2020-10-01,2020,10,"Quintil 4",39076.8131087289
40,2020-10-01,2020,10,"Quintil 5",60735.1586730287
41,2020-11-01,2020,11,"Nacional",36758.9106320123
41,2020-11-01,2020,11,"Quintil 1",21697.6289592279
41,2020-11-01,2020,11,"Quintil 2",28288.1420410415
41,2020-11-01,2020,11,"Quintil 3",33650.0087807681
41,2020-11-01,2020,11,"Quintil 4",39298.6410631137
41,2020-11-01,2020,11,"Quintil 5",60950.8003235719
42,2020-12-01,2020,12,"Nacional",36936.1719896267
42,2020-12-01,2020,12,"Quintil 1",21791.9691749607
42,2020-12-01,2020,12,"Quintil 2",28421.5976483702
42,2020-12-01,2020,12,"Quintil 3",33798.5939063167
42,2020-12-01,2020,12,"Quintil 4",39492.2583707254
42,2020-12-01,2020,12,"Quintil 5",61286.3809901234
44,2021-01-01,2021,1,"Nacional",37293.5252255361
44,2021-01-01,2021,1,"Quintil 1",22020.7855754003
44,2021-01-01,2021,1,"Quintil 2",28717.9005489975
44,2021-01-01,2021,1,"Quintil 3",34161.6584304833
44,2021-01-01,2021,1,"Quintil 4",39889.3251148509
44,2021-01-01,2021,1,"Quintil 5",61781.7619740802
45,2021-02-01,2021,2,"Nacional",37548.2720867784
45,2021-02-01,2021,2,"Quintil 1",22155.6755329831
45,2021-02-01,2021,2,"Quintil 2",28912.3086563821
45,2021-02-01,2021,2,"Quintil 3",34386.7971968037
45,2021-02-01,2021,2,"Quintil 4",40192.2303167981
45,2021-02-01,2021,2,"Quintil 5",62222.6924795137
46,2021-03-01,2021,3,"Nacional",37774.7137412161
46,2021-03-01,2021,3,"Quintil 1",22233.6717201131
46,2021-03-01,2021,3,"Quintil 2",29042.7274843485
46,2021-03-01,2021,3,"Quintil 3",34552.1789017622
46,2021-03-01,2021,3,"Quintil 4",40399.4613413512
46,2021-03-01,2021,3,"Quintil 5",62721.0327286078
47,2021-04-01,2021,4,"Nacional",37931.100008812
47,2021-04-01,2021,4,"Quintil 1",22317.4607275074
47,2021-04-01,2021,4,"Quintil 2",29147.1167749246
47,2021-04-01,2021,4,"Quintil 3",34699.7949938833
47,2021-04-01,2021,4,"Quintil 4",40558.2880390014
47,2021-04-01,2021,4,"Quintil 5",62983.8154727856
48,2021-05-01,2021,5,"Nacional",38177.0014929279
48,2021-05-01,2021,5,"Quintil 1",22463.3156663048
48,2021-05-01,2021,5,"Quintil 2",29345.8631385408
48,2021-05-01,2021,5,"Quintil 3",34915.8894482138
48,2021-05-01,2021,5,"Quintil 4",40804.0912615553
48,2021-05-01,2021,5,"Quintil 5",63403.4392692317
49,2021-06-01,2021,6,"Nacional",38419.0110111081
49,2021-06-01,2021,6,"Quintil 1",22636.2727284816
49,2021-06-01,2021,6,"Quintil 2",29556.5397067944
49,2021-06-01,2021,6,"Quintil 3",35155.5637159466
49,2021-06-01,2021,6,"Quintil 4",41038.1715611874
49,2021-06-01,2021,6,"Quintil 5",63703.5087541375
50,2021-07-01,2021,7,"Nacional",38625.2852056974
50,2021-07-01,2021,7,"Quintil 1",22777.7830520807
50,2021-07-01,2021,7,"Quintil 2",29741.1867376575
50,2021-07-01,2021,7,"Quintil 3",35347.7553457323
50,2021-07-01,2021,7,"Quintil 4",41244.6462681327
50,2021-07-01,2021,7,"Quintil 5",63972.2100285896
51,2021-08-01,2021,8,"Nacional",38933.4581447836
51,2021-08-01,2021,8,"Quintil 1",22960.87754972
51,2021-08-01,2021,8,"Quintil 2",29981.9599585186
51,2021-08-01,2021,8,"Quintil 3",35620.6997611423
51,2021-08-01,2021,8,"Quintil 4",41548.3077876878
51,2021-08-01,2021,8,"Quintil 5",64416.6916521877
52,2021-09-01,2021,9,"Nacional",39108.9504269727
52,2021-09-01,2021,9,"Quintil 1",23072.8031126837
52,2021-09-01,2021,9,"Quintil 2",30153.5922206866
