PERIODO,CÓD_MES,MES,CÓD_REGIÓN,REGIÓN,CÓD_PROVINCIA,PROVINCIA,CÓD_MUNICIPIO,MUNICIPIO,CÓD_CAPITULO,UNIDAD_EJECUTORA,CÓD_ECO_TITULO,ECO_TITULO,CÓD_ECO_SUB_TITULO,ECO_SUB_TITULO,CÓD_CONCEPTO,CONCEPTO,CÓD_CUENTA,DES_CUENTA,PERCIBIDO
2023,12,Diciembre,08,Región Yuma,08,El Seibo,0001,El Seibo,7309,Villa de Pedro Sánchez,1.1,Ingresos corrientes,1.1.6,Transferencias y donaciones corrientes recibidas,1.4,Transferencias,1.4.1,Transferencias corrientes,1218985.26
2023,12,Diciembre,08,Región Yuma,08,El Seibo,0001,El Seibo,7309,Villa de Pedro Sánchez,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,264600
2023,12,Diciembre,08,Región Yuma,08,El Seibo,0001,El Seibo,7309,Villa de Pedro Sánchez,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,0
2023,12,Diciembre,04,Región Cibao Noroeste,15,Monte Cristi,0003,Guayubín,7310,Villa Elisa,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,498000.1
2023,12,Diciembre,04,Región Cibao Noroeste,15,Monte Cristi,0003,Guayubín,7310,Villa Elisa,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,0
2023,12,Diciembre,04,Región Cibao Noroeste,15,Monte Cristi,0003,Guayubín,7310,Villa Elisa,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,11400
2023,12,Diciembre,08,Región Yuma,12,La Romana,0003,Villa Hermosa,7311,Villa Hermosa,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,15505243.029999999
2023,12,Diciembre,08,Región Yuma,12,La Romana,0003,Villa Hermosa,7311,Villa Hermosa,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,1500
2023,12,Diciembre,08,Región Yuma,12,La Romana,0003,Villa Hermosa,7311,Villa Hermosa,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,1782
2023,12,Diciembre,08,Región Yuma,12,La Romana,0003,Villa Hermosa,7311,Villa Hermosa,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,10000
