UPM,HVIVIEN,HHOGAR,ECODE2,HZONA,ESTRATO,REGION,HLINEA,P202,P203,P205,P206,P207,P208,P209,P210,P301,P302,P303,P304,P305,P306,P307,P308,P401,P402,P403,P404,P405,P501,P502,P503,ESTRATOREG,FEXPANSION,FPONDERACION,grup_sec
1,10,1,211,1,1,10,4,1,16,3,1,1,7,2, ,1,1,3,3,1, , , ,2,1,1,1,1, , , ,10.1,741.823067716677,2.06905680929178,4
1,10,1,211,1,1,10,5,2,3,3,1,1, , , ,2,3, , , , , , , , , , , , , , ,10.1,741.823067716677,2.06905680929178,4
2,1,1,212,1,1,10,1,1,32,1,1,1,1, ,28,1,2,5,6,2,8,2,99,2,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
2,1,1,212,1,1,10,2,2,30,2,1,1,1, ,26,1,2,3,4,2,8,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
2,1,1,212,1,1,10,3,1,2,3,1,1, , , , , , , , , , , , , , , , , , , ,10.1,593.458454173342,1.65524544743342,4
2,2,1,212,1,1,10,1,1,34,1,1,1,3, ,98,1,2,8,98,2,96,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,3
2,2,1,212,1,1,10,2,2,24,2,1,1,2, ,17,1,2,3,4,2,6,1, ,2,2,2,1,1,1,2,12,10.1,593.458454173342,1.65524544743342,3
2,2,1,212,1,1,10,3,2,3,3,1,1, , , ,2,3, , , , , , , , , , , , , , ,10.1,593.458454173342,1.65524544743342,3
2,2,1,212,1,1,10,4,1,2,3,1,1, , , , , , , , , , , , , , , , , , , ,10.1,593.458454173342,1.65524544743342,3
2,2,1,212,1,1,10,5,2,5,13,1,1, , , ,1,1,2,0,1, , , ,2,2,2,2,2, , , ,10.1,593.458454173342,1.65524544743342,3
2,2,1,212,1,1,10,6,2,9,13,1,1, , , ,1,1,2,4,1, , , ,1,1,2,2,1, , , ,10.1,593.458454173342,1.65524544743342,3
2,3,1,212,1,1,10,1,2,27,1,1,1,6, ,98,1,2,4,2,2,6,1,99,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
2,3,1,212,1,1,10,2,2,3,3,1,1, , , ,2,1,1,1,1, , , , , , , , , , , ,10.1,593.458454173342,1.65524544743342,4
2,4,1,212,1,1,10,1,2,27,1,1,1,2, ,16,1,2,3,1,2,1,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
2,4,1,212,1,1,10,2,1,34,2,1,1,2, ,98,1,2,8,98,2,1,2, ,2,2,1,1,1,1,2,12,10.1,593.458454173342,1.65524544743342,4
2,4,1,212,1,1,10,3,1,2,3,1,1, , , , , , , , , , , , , , , , , , , ,10.1,593.458454173342,1.65524544743342,4
2,4,1,212,1,1,10,4,1,5,3,1,1, , , ,2,1,1,0,1, , , ,2,1,2,1,1, , , ,10.1,593.458454173342,1.65524544743342,4
2,5,1,212,1,1,10,1,1,38,1,1,1,6, ,22,2,3, , , , , , ,2,2,1,1,1,1,2,9,10.1,593.458454173342,1.65524544743342,3
2,5,1,212,1,1,10,2,1,32,8,1,1,7,2, ,1,2,8,98,2,1,2, ,2,2,1,1,1,1,8, ,10.1,593.458454173342,1.65524544743342,3
2,6,1,212,1,1,10,1,1,39,1,1,1,3, ,98,1,2,4,2,2,3,2,99,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
2,6,1,212,1,1,10,2,2,26,2,1,1,2, ,22,1,1,4,3,2, , , ,2,2,1,1,1,1,2,12,10.1,593.458454173342,1.65524544743342,4
2,6,1,212,1,1,10,3,1,3,3,1,1, , , ,2,1,1,1,1, , , , , , , , , , , ,10.1,593.458454173342,1.65524544743342,4
2,7,1,212,1,1,10,1,2,60,1,1,1,6, ,15,1,2,2,6,2,2,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
2,8,1,212,1,1,10,1,1,54,1,1,1,1, ,22,2,3, , , , , , ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
2,8,1,212,1,1,10,2,2,61,2,1,1,1, ,23,2,3, , , , , , ,2,2,1,1,1,1,2,3,10.1,593.458454173342,1.65524544743342,4
2,9,1,212,1,1,10,1,2,45,1,1,1,6, ,21,1,2,3,4,2,1,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,5
2,9,1,212,1,1,10,2,1,23,3,1,1,7,2, ,1,1,4,2,2, , , ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,5
2,9,1,212,1,1,10,3,2,21,3,1,1,7,2, ,1,1,4,2,1, , , ,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,5
2,10,1,212,1,1,10,1,1,67,1,1,1,6, ,30,1,2,2,3,2,1,2, ,2,2,1,1,2,1,1, ,10.1,593.458454173342,1.65524544743342,3
3,1,1,214,1,1,10,1,1,72,1,1,1,5, ,22,1,2,1,1,2,1,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,1
3,2,1,214,1,1,10,1,1,75,1,2,1,1, ,22,1,2,2,2,2,1,2, ,2,2,1,1,1,1,2,4,10.1,593.458454173342,1.65524544743342,3
3,2,1,214,1,1,10,2,2,44,2,2,1,1, ,19,1,2,2,2,2,3,2, ,2,2,1,1,1,1,2,4,10.1,593.458454173342,1.65524544743342,3
3,2,1,214,1,1,10,3,1,13,3,1,1, , , ,1,1,2,8,1, , , ,2,2,1,1,1, , , ,10.1,593.458454173342,1.65524544743342,3
3,2,1,214,1,1,10,4,1,20,3,1,1,7,2, ,1,1,3,1,1, , , ,2,2,1,1,1,3, , ,10.1,593.458454173342,1.65524544743342,3
3,2,1,214,1,1,10,5,1,19,3,1,1,7,2, ,1,1,2,7,1, , , ,2,2,1,1,1,3, , ,10.1,593.458454173342,1.65524544743342,3
3,2,1,214,1,1,10,6,1,24,3,2,1,7,2, ,1,2,2,3,2,1,2, ,2,2,2,1,1,1,2,4,10.1,593.458454173342,1.65524544743342,3
3,3,1,214,1,1,10,1,1,37,1,1,1,2, ,22,1,2,4,2,2,1,2,99,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
3,3,1,214,1,1,10,2,2,31,2,1,1,2, ,19,1,2,3,4,2,3,2, ,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
3,3,1,214,1,1,10,3,2,11,3,1,1, , , ,1,1,2,6,1, , , ,2,2,1,1,1, , , ,10.1,593.458454173342,1.65524544743342,4
3,3,1,214,1,1,10,4,1,5,3,1,1, , , ,2,1,1,1,1, , , ,2,2,2,1,1, , , ,10.1,593.458454173342,1.65524544743342,4
3,4,1,214,1,1,10,1,1,38,1,1,1,2, ,21,1,2,4,2,2,1,2,99,2,1,1,1,1,1,2,13,10.1,593.458454173342,1.65524544743342,4
3,4,1,214,1,1,10,2,2,26,2,1,1,2, ,19,1,1,4,3,2, , , ,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
3,4,1,214,1,1,10,3,1,8,3,1,1, , , ,1,1,2,3,1, , , ,2,1,1,2,1, , , ,10.1,593.458454173342,1.65524544743342,4
3,4,1,214,1,1,10,4,2,6,3,1,1, , , ,1,1,2,0,1, , , ,2,2,2,2,2, , , ,10.1,593.458454173342,1.65524544743342,4
3,5,1,214,1,1,10,1,2,26,1,2,1,5, ,17,1,2,2,3,2,7,2, ,2,2,1,1,1,2,2,4,10.1,593.458454173342,1.65524544743342,4
3,6,1,214,1,1,10,1,1,46,1,1,1,2, ,19,1,2,3,4,2,8,2, ,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,2
3,6,1,214,1,1,10,2,2,45,2,1,1,2, ,21,1,2,4,3,2,8,2,99,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,2
3,7,1,214,1,1,10,1,1,62,1,1,1,2, ,20,1,2,2,7,2,1,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
3,7,1,214,1,1,10,2,2,57,2,1,1,2, ,17,1,2,3,4,2,3,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
3,7,1,214,1,1,10,3,1,30,3,1,1,7,2, ,1,1,4,98,2, , , ,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
3,8,1,214,1,1,10,1,1,46,1,1,1,5, ,25,1,2,3,4,2,1,2, ,2,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
3,8,1,214,1,1,10,2,2,16,3,1,1,7,2, ,1,1,3,3,1, , , ,1,1,1,1,1, , , ,10.1,593.458454173342,1.65524544743342,4
3,8,1,214,1,1,10,3,2,14,3,1,1, , , ,1,1,3,0,1, , , ,1,1,1,1,1, , , ,10.1,593.458454173342,1.65524544743342,4
3,9,1,214,1,1,10,1,2,58,1,1,1,2, ,20,1,2,2,1,2,7,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
3,9,1,214,1,1,10,2,2,33,3,1,1,2, ,21,1,2,3,3,2,3,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
3,9,1,214,1,1,10,3,1,45,4,1,1,2, ,20,1,2,3,4,2,1,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
3,9,1,214,1,1,10,4,2,17,5,1,1,7,2, ,1,1,3,4,1, , , ,1,1,1,1,1, , , ,10.1,593.458454173342,1.65524544743342,4
3,9,1,214,1,1,10,5,1,15,5,1,1,7,2, ,1,1,3,2,1, , , ,1,1,1,1,1, , , ,10.1,593.458454173342,1.65524544743342,4
3,9,1,214,1,1,10,6,2,2,5,1,1, , , , , , , , , , , , , , , , , , , ,10.1,593.458454173342,1.65524544743342,4
3,10,1,214,1,1,10,1,2,45,1,1,1,5, ,21,1,2,4,4,2,8,2,99,2,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
4,1,1,213,1,1,10,1,1,42,1,1,3,6, ,18,1,2,2,7,2,1,2, ,2,2,1,1,1,3, , ,10.1,659.398282414824,1.83916160825936,1
4,1,1,213,1,1,10,2,1,23,3,1,1,7,2, ,1,2,2,3,1,7,2, ,2,2,1,1,1,3, , ,10.1,659.398282414824,1.83916160825936,1
4,1,1,213,1,1,10,3,2,17,3,1,1,6, ,13,1,2,2,7,2,6,2, ,2,2,2,1,1, , , ,10.1,659.398282414824,1.83916160825936,1
4,1,1,213,1,1,10,4,1,11,3,1,1, , , ,1,1,2,5,1, , , ,1,1,2,1,1, , , ,10.1,659.398282414824,1.83916160825936,1
4,2,1,213,1,1,10,1,2,29,1,1,1,6, ,18,1,2,3,4,2,6,2, ,2,2,1,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,2
4,2,1,213,1,1,10,2,2,11,3,1,1, , , ,1,1,2,5,1, , , ,2,1,1,1,1, , , ,10.1,659.398282414824,1.83916160825936,2
4,2,1,213,1,1,10,3,1,3,3,1,1, , , ,2,3, , , , , , , , , , , , , , ,10.1,659.398282414824,1.83916160825936,2
4,3,1,213,1,1,10,1,1,43,1,1,1,6, ,28,1,2,3,4,2,3,2, ,2,2,1,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,2
4,4,1,213,1,1,10,1,1,54,1,1,1,2, ,21,2,3, , , , , , ,2,2,1,1,2,1,1, ,10.1,659.398282414824,1.83916160825936,2
4,4,1,213,1,1,10,2,2,53,2,1,1,2, ,20,1,2,2,7,2,6,2, ,2,2,1,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,2
4,4,1,213,1,1,10,3,1,12,3,1,1, , , ,1,1,2,7,1, , , ,2,2,1,1,1, , , ,10.1,659.398282414824,1.83916160825936,2
4,4,1,213,1,1,10,4,1,15,3,1,1,7,2, ,1,1,3,3,1, , , ,2,2,1,1,1, , , ,10.1,659.398282414824,1.83916160825936,2
4,5,1,213,1,1,10,1,1,55,1,1,1,2, ,18,1,2,2,8,2,1,2, ,2,2,1,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,2
4,5,1,213,1,1,10,2,2,51,2,1,1,2, ,19,1,2,3,4,2,96,2, ,2,2,1,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,2
4,5,1,213,1,1,10,3,1,22,3,1,1,7,2, ,1,2,3,4,2,96,3, ,2,1,1,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,2
4,5,1,213,1,1,10,4,2,16,3,1,1,7,2, ,1,1,3,3,1, , , ,2,2,1,1,1, , , ,10.1,659.398282414824,1.83916160825936,2
4,6,1,213,1,1,10,1,2,44,1,1,1,6, ,15,1,2,3,4,2,1,2, ,2,2,1,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,1
4,6,1,213,1,1,10,2,2,22,3,1,1,7,2, ,1,1,3,2,1, , , ,2,2,1,1,1,1,2,9,10.1,659.398282414824,1.83916160825936,1
4,6,1,213,1,1,10,3,1,19,3,1,1,7,2, ,1,2,3,1,2,7,2, ,2,1,1,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,1
4,7,1,213,1,1,10,1,1,49,1,1,1,1, ,30,1,2,4,4,2,8,2,1,1,1,1,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,5
4,7,1,213,1,1,10,2,2,43,2,1,1,1, ,25,1,2,4,2,2,3,2,1,1,1,1,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,5
4,7,1,213,1,1,10,3,1,18,3,1,1,7,2, ,1,2,3,4,1,9,3, ,1,1,1,1,1,1,2,5,10.1,659.398282414824,1.83916160825936,5
4,7,1,213,1,1,10,4,2,16,3,1,1,7,2, ,1,1,3,3,1, , , ,2,1,1,1,1, , , ,10.1,659.398282414824,1.83916160825936,5
4,7,1,213,1,1,10,5,2,13,3,1,1, , , ,1,1,3,1,1, , , ,1,1,2,1,1, , , ,10.1,659.398282414824,1.83916160825936,5
4,8,1,213,1,1,10,1,1,45,1,1,1,5, ,20,1,2,2,7,2,1,2, ,2,2,1,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,4
4,8,1,213,1,1,10,2,2,55,2,1,1,5, ,23,1,2,2,8,2,6,2, ,2,2,1,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,4
4,9,1,213,1,1,10,1,2,64,1,1,1,6, ,21,1,2,2,3,2,1,2, ,2,2,2,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,3
4,9,1,213,1,1,10,2,2,33,3,1,1,6, ,18,1,2,3,4,2,1,3, ,2,2,1,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,3
4,9,1,213,1,1,10,3,2,31,3,1,1,6, ,17,1,2,3,4,2,1,2, ,2,2,1,1,1,1,1, ,10.1,659.398282414824,1.83916160825936,3
4,9,1,213,1,1,10,4,1,13,5,1,1, , , ,1,1,3,1,1, , , ,1,1,2,1,1, , , ,10.1,659.398282414824,1.83916160825936,3
4,9,1,213,1,1,10,5,1,11,5,1,1, , , ,1,1,2,6,1, , , ,1,1,2,1,1, , , ,10.1,659.398282414824,1.83916160825936,3
4,9,1,213,1,1,10,6,1,7,5,1,1, , , ,1,1,2,2,1, , , ,1,1,2,1,1, , , ,10.1,659.398282414824,1.83916160825936,3
5,1,1,213,1,1,10,1,1,61,1,1,1,1, ,23,1,2,3,4,2,1,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
5,1,1,213,1,1,10,2,2,52,2,1,1,1, ,19,1,2,3,4,2,6,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
5,2,1,213,1,1,10,1,2,96,1,1,1,3, ,22,1,2,2,5,2,1,2, ,2,2,2,2,2,1,2,8,10.1,593.458454173342,1.65524544743342,3
5,2,1,213,1,1,10,2,1,58,3,1,1,6, ,42,1,2,2,8,2,1,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,3
5,3,1,213,1,1,10,1,2,52,1,1,1,2, ,46,1,2,4,4,2,8,2,15,2,2,1,1,1,1,2,13,10.1,593.458454173342,1.65524544743342,4
5,3,1,213,1,1,10,2,1,52,2,1,1,2, ,25,1,2,4,4,2,8,2,98,2,2,1,1,1,1,2,13,10.1,593.458454173342,1.65524544743342,4
5,4,1,213,1,1,10,1,1,63,1,1,1,6, ,24,1,2,2,7,2,1,2, ,2,2,1,1,1,1,2,13,10.1,593.458454173342,1.65524544743342,4
5,5,1,213,1,1,10,1,1,43,1,1,1,6, ,20,1,2,3,4,2,1,2, ,1,1,1,1,1,1,2,9,10.1,593.458454173342,1.65524544743342,4
5,6,1,212,1,1,10,1,1,35,1,1,1,6, ,22,1,2,4,1,2,1,2,4,2,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,3
5,7,1,212,1,1,10,1,1,46,1,1,1,2, ,98,1,2,3,3,2,1,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,3
5,7,1,212,1,1,10,2,2,54,2,1,1,2, ,19,1,2,2,5,2,7,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,3
5,7,1,212,1,1,10,3,1,13,3,1,1, , , ,1,1,2,5,1, , , ,1,1,2,2,1, , , ,10.1,593.458454173342,1.65524544743342,3
5,7,1,212,1,1,10,4,1,9,13,1,1, , , ,1,1,2,4,1, , , ,2,2,2,1,1, , , ,10.1,593.458454173342,1.65524544743342,3
5,8,1,212,1,1,10,1,1,35,1,1,1,2, ,25,1,2,4,3,2,1,2,4,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
5,8,1,212,1,1,10,2,2,30,2,1,1,1, ,20,1,1,4,3,2, , , ,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
5,8,1,212,1,1,10,3,2,4,3,1,1, , , ,2,1,1,1,1, , , , , , , , , , , ,10.1,593.458454173342,1.65524544743342,4
5,8,1,212,1,1,10,4,1,22,9,1,1,7,2, ,1,1,4,3,1, , , ,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
5,9,1,212,1,1,10,1,1,55,1,1,1,1, ,32,1,2,5,6,2,8,2,4,2,1,1,1,1,1,2,10,10.1,593.458454173342,1.65524544743342,5
5,9,1,212,1,1,10,2,2,42,2,1,1,1, ,98,1,2,4,4,2,8,2,4,2,1,1,1,1,1,2,10,10.1,593.458454173342,1.65524544743342,5
5,9,1,212,1,1,10,3,2,19,3,1,1,7,2, ,1,1,3,3,1, , , ,2,1,1,1,1,1,2,10,10.1,593.458454173342,1.65524544743342,5
5,10,1,212,1,1,10,1,1,38,1,1,1,1, ,32,1,2,5,2,2,8,2,12,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
5,10,1,212,1,1,10,2,2,31,2,1,1,1, ,25,1,2,5,2,2,8,2,1,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
5,10,1,212,1,1,10,3,2,3,3,1,1, , , ,2,1,1,1,1, , , , , , , , , , , ,10.1,593.458454173342,1.65524544743342,4
6,1,1,211,1,1,10,1,1,60,1,1,1,1, ,32,1,2,4,4,2,8,2,1,1,1,1,1,1,1,1, ,10.1,1483.64613543335,4.13811361858355,5
6,1,1,211,1,1,10,2,2,55,2,1,1,1, ,28,1,2,3,4,2,6,2, ,2,1,1,1,1,1,1, ,10.1,1483.64613543335,4.13811361858355,5
6,1,1,211,1,1,10,3,2,24,3,1,1,7,2, ,1,2,4,4,2,8,3,6,1,1,1,1,1,1,1, ,10.1,1483.64613543335,4.13811361858355,5
6,2,1,211,1,1,10,1,2,80,1,1,1,4, ,17,1,2,4,4,2,8,2,1,1,1,1,1,1,1,1, ,10.1,1483.64613543335,4.13811361858355,5
6,6,1,214,1,1,10,1,1,68,1,1,1,5, ,23,1,2,4,5,2,7,2,99,1,1,1,1,1,1,1, ,10.1,1483.64613543335,4.13811361858355,5
6,8,1,213,1,1,10,1,2,78,1,1,1,3, ,22,1,2,2,6,2,3,2, ,2,2,1,1,1,1,2,8,10.1,1483.64613543335,4.13811361858355,5
7,3,1,211,1,1,10,1,1,53,1,1,1,6, ,22,1,2,4,4,2,8,2,9,1,1,1,1,1,1,2,2,10.1,1186.91690834668,3.31049089486684,5
7,3,1,211,1,1,10,2,2,28,3,1,1,7,2, ,1,2,4,3,2,8,2,6,2,1,1,1,1,1,2,2,10.1,1186.91690834668,3.31049089486684,5
7,3,1,211,1,1,10,3,1,23,3,1,1,7,2, ,1,1,4,2,2, , , ,2,1,1,1,1,1,2,2,10.1,1186.91690834668,3.31049089486684,5
7,3,1,211,1,1,10,4,2,16,13,2,3,7,2, ,1,2,2,6,2,8,2, ,2,2,1,1,1, , , ,10.1,1186.91690834668,3.31049089486684,5
7,4,1,214,1,1,10,1,2,45,1,1,1,4, ,22,1,2,4,4,2,8,2,4,1,1,1,1,1,1,1, ,10.1,1186.91690834668,3.31049089486684,5
7,5,1,214,1,1,10,1,2,72,1,1,1,4, ,24,1,2,4,4,2,8,2,1,1,1,1,1,1,1,2,3,10.1,1186.91690834668,3.31049089486684,4
7,6,1,214,1,1,10,1,1,58,1,1,1,2, ,25,1,2,3,4,2,1,2, ,1,1,1,1,1,1,1, ,10.1,1186.91690834668,3.31049089486684,4
7,6,1,214,1,1,10,2,2,57,2,8,1,2, ,25,1,2,5,5,2,8,2,98,1,1,1,1,1,1,1, ,10.1,1186.91690834668,3.31049089486684,4
7,9,1,213,1,1,10,1,1,34,1,1,1,1, ,23,1,2,5,2,2,8,2,3,1,1,1,1,1,1,1, ,10.1,1186.91690834668,3.31049089486684,5
8,1,1,214,1,1,10,1,1,63,1,1,1,5, ,25,1,2,2,4,2,7,2, ,2,2,2,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,2
8,1,1,214,1,1,10,2,1,46,12,1,1,5, ,20,1,2,2,5,2,1,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,2
8,1,1,214,1,1,10,3,1,13,12,1,1, , , ,1,1,2,6,1, , , ,2,1,1,1,1, , , ,10.1,593.458454173342,1.65524544743342,2
8,2,1,214,1,1,10,1,2,56,1,1,1,4, ,21,1,2,4,5,2,8,2,1,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,3
8,3,1,214,1,1,10,1,2,65,1,1,1,5, ,25,1,2,3,4,2,1,2, ,2,2,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
8,3,1,214,1,1,10,2,1,66,8,1,1,7,2, ,1,2,3,4,2,1,2, ,2,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
8,3,1,214,1,1,10,3,1,22,3,1,1,7,2, ,1,2,4,5,2,8,2,1,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
8,3,1,214,1,1,10,4,2,23,3,1,1,7,2, ,1,1,3,3,2, , , ,1,1,1,1,1,1,1, ,10.1,593.458454173342,1.65524544743342,4
