pais,codigo,anio,valor,grupo,indice,metrica
Upper middle income,,2019,23.3824101155209,Ingreso mediano alto,126.2254218848439,Exportaciones (% del PIB)
Dominican Republic,DOM,2020,18.7972072415048,República Dominicana,61.40729347818386,Exportaciones (% del PIB)
Upper middle income,,2020,22.4754308939853,Ingreso mediano alto,121.32926984946727,Exportaciones (% del PIB)
Dominican Republic,DOM,2021,21.5282997986043,República Dominicana,70.32931045736501,Exportaciones (% del PIB)
Upper middle income,,2021,24.5128711080355,Ingreso mediano alto,132.32799706847723,Exportaciones (% del PIB)
Dominican Republic,DOM,2022,22.0261866198241,República Dominicana,71.95582240441937,Exportaciones (% del PIB)
Upper middle income,,2022,26.207602164455,Ingreso mediano alto,141.47667513549575,Exportaciones (% del PIB)
Dominican Republic,DOM,2023,21.3233165320401,República Dominicana,69.65966483148547,Exportaciones (% del PIB)
Upper middle income,,2023,24.5156877376962,Ingreso mediano alto,132.34320209932986,Exportaciones (% del PIB)
Dominican Republic,DOM,2024,22.7679273981921,República Dominicana,74.37896394224359,Exportaciones (% del PIB)
Upper middle income,,2024,25.2621191284205,Ingreso mediano alto,136.37266769918793,Exportaciones (% del PIB)
Dominican Republic,DOM,2025,23.6399210081098,República Dominicana,77.22761942746291,Exportaciones (% del PIB)
Upper middle income,,2025,25.8824489872026,Ingreso mediano alto,139.72139855052825,Exportaciones (% del PIB)
