salario,sfs_empleador,pension_empleador,riesgos_bajo,infotep,salario_neto_sin_isr,costo_directo_bajo,sueldo_13,vacaciones_14_dias,costo_anualizado_bajo
33701.25,2389.4186250000002,2392.7887499999997,370.71375,337.0125,31709.506125,39191.183625,2808.4375,1310.6041666666667,43310.22529166666
34201.25,2424.868625,2428.2887499999997,376.21375,342.0125,32179.956125,39772.633625,2850.1041666666665,1330.048611111111,43952.786402777776
34701.25,2460.3186250000003,2463.7887499999997,381.71375,347.0125,32650.406125,40354.083625,2891.7708333333335,1349.4930555555557,44595.34751388889
35201.25,2495.768625,2499.2887499999997,387.21375,352.0125,33120.856125,40935.533625,2933.4375,1368.9375,45237.908625
35701.25,2531.218625,2534.7887499999997,392.71375,357.0125,33591.306125,41516.983625,2975.1041666666665,1388.3819444444443,45880.46973611111
36201.25,2566.6686250000002,2570.2887499999997,398.21375,362.0125,34061.756125,42098.433625,3016.7708333333335,1407.826388888889,46523.030847222224
36701.25,2602.118625,2605.7887499999997,403.71375,367.0125,34532.206125,42679.883625,3058.4375,1427.2708333333333,47165.59195833334
37201.25,2637.5686250000003,2641.2887499999997,409.21375,372.0125,35002.656125,43261.333625,3100.1041666666665,1446.7152777777778,47808.153069444445
37701.25,2673.018625,2676.7887499999997,414.71374999999995,377.0125,35473.106125,43842.783625,3141.7708333333335,1466.1597222222222,48450.71418055555
38201.25,2708.468625,2712.2887499999997,420.21374999999995,382.0125,35943.556125,44424.233625,3183.4375,1485.6041666666667,49093.275291666665
38701.25,2743.9186250000002,2747.7887499999997,425.71374999999995,387.0125,36414.006125,45005.683625,3225.1041666666665,1505.048611111111,49735.83640277777
39201.25,2779.368625,2783.2887499999997,431.21374999999995,392.0125,36884.456125,45587.133625,3266.7708333333335,1524.4930555555557,50378.39751388889
39701.25,2814.8186250000003,2818.7887499999997,436.71374999999995,397.0125,37354.906125,46168.583625,3308.4375,1543.9375,51020.958625
40201.25,2850.268625,2854.2887499999997,442.21374999999995,402.0125,37825.356125,46750.033625,3350.1041666666665,1563.3819444444443,51663.519736111106
40701.25,2885.718625,2889.7887499999997,447.71374999999995,407.0125,38295.806125,47331.483625,3391.7708333333335,1582.826388888889,52306.08084722223
41201.25,2921.1686250000002,2925.2887499999997,453.21374999999995,412.0125,38766.256125,47912.933625,3433.4375,1602.2708333333333,52948.64195833333
41701.25,2956.618625,2960.7887499999997,458.71374999999995,417.0125,39236.706125,48494.383625,3475.1041666666665,1621.7152777777778,53591.20306944445
42201.25,2992.0686250000003,2996.2887499999997,464.21374999999995,422.0125,39707.156125,49075.833625,3516.7708333333335,1641.1597222222222,54233.764180555554
42701.25,3027.518625,3031.7887499999997,469.71374999999995,427.0125,40177.606125,49657.283625,3558.4375,1660.6041666666667,54876.32529166666
43201.25,3062.9686250000004,3067.2887499999997,475.21374999999995,432.0125,40648.056125,50238.733625,3600.1041666666665,1680.048611111111,55518.886402777774
43701.25,3098.4186250000002,3102.7887499999997,480.71374999999995,437.0125,41118.506125,50820.183625,3641.7708333333335,1699.4930555555557,56161.44751388889
44201.25,3133.868625,3138.2887499999997,486.21374999999995,442.0125,41588.956125,51401.633625,3683.4375,1718.9375,56804.008625
44701.25,3169.3186250000003,3173.7887499999997,491.71374999999995,447.0125,42059.406125,51983.083625,3725.1041666666665,1738.3819444444443,57446.56973611111
45201.25,3204.768625,3209.2887499999997,497.21374999999995,452.0125,42529.856125,52564.533625,3766.7708333333335,1757.826388888889,58089.13084722222
45701.25,3240.2186250000004,3244.7887499999997,502.71374999999995,457.0125,43000.306125,53145.983625,3808.4375,1777.2708333333333,58731.69195833334
46201.25,3275.6686250000002,3280.2887499999997,508.21374999999995,462.0125,43470.756125,53727.433625,3850.1041666666665,1796.7152777777778,59374.25306944444
46701.25,3311.118625,3315.7887499999997,513.71375,467.0125,43941.206125,54308.883625,3891.7708333333335,1816.1597222222222,60016.81418055556
47201.25,3346.5686250000003,3351.2887499999997,519.21375,472.0125,44411.656125,54890.333625,3933.4375,1835.6041666666667,60659.37529166666
47701.25,3382.018625,3386.7887499999997,524.71375,477.0125,44882.106125,55471.783625,3975.1041666666665,1855.048611111111,61301.93640277777
48201.25,3417.4686250000004,3422.2887499999997,530.21375,482.0125,45352.556125,56053.233625,4016.7708333333335,1874.4930555555557,61944.49751388889
48701.25,3452.9186250000002,3457.7887499999997,535.71375,487.0125,45823.006125,56634.683625,4058.4375,1893.9375,62587.058625
49201.25,3488.368625,3493.2887499999997,541.21375,492.0125,46293.456125,57216.133625,4100.104166666667,1913.3819444444443,63229.61973611111
49701.25,3523.8186250000003,3528.7887499999997,546.71375,497.0125,46763.906125,57797.583625,4141.770833333333,1932.826388888889,63872.180847222226
50201.25,3559.268625,3564.2887499999997,552.21375,502.0125,47234.356125,58379.033625,4183.4375,1952.2708333333333,64514.74195833333
50701.25,3594.7186250000004,3599.7887499999997,557.71375,507.0125,47704.806125,58960.483625,4225.104166666667,1971.7152777777778,65157.303069444446
51201.25,3630.1686250000002,3635.2887499999997,563.21375,512.0125,48175.256125,59541.933625,4266.770833333333,1991.1597222222222,65799.86418055555
51701.25,3665.618625,3670.7887499999997,568.71375,517.0125,48645.706125,60123.383625,4308.4375,2010.6041666666667,66442.42529166667
52201.25,3701.0686250000003,3706.2887499999997,574.21375,522.0125,49116.156125,60704.833625,4350.104166666667,2030.048611111111,67084.98640277778
52701.25,3736.518625,3741.7887499999997,579.71375,527.0125,49586.606125,61286.283625,4391.770833333333,2049.4930555555557,67727.54751388889
53201.25,3771.9686250000004,3777.2887499999997,585.21375,532.0125,50057.056125,61867.733625,4433.4375,2068.9375,68370.108625
53701.25,3807.4186250000002,3812.7887499999997,590.71375,537.0125,50527.506125,62449.183625,4475.104166666667,2088.3819444444443,69012.6697361111
54201.25,3842.868625,3848.2887499999997,596.21375,542.0125,50997.956125,63030.633625,4516.770833333333,2107.8263888888887,69655.23084722222
54701.25,3878.3186250000003,3883.7887499999997,601.71375,547.0125,51468.406125,63612.083625,4558.4375,2127.2708333333335,70297.79195833333
55201.25,3913.768625,3919.2887499999997,607.21375,552.0125,51938.856125,64193.533625,4600.104166666667,2146.715277777778,70940.35306944445
55701.25,3949.2186250000004,3954.7887499999997,612.71375,557.0125,52409.306125,64774.983625,4641.770833333333,2166.159722222222,71582.91418055556
56201.25,3984.6686250000002,3990.2887499999997,618.21375,562.0125,52879.756125,65356.433625,4683.4375,2185.6041666666665,72225.47529166668
56701.25,4020.118625,4025.7887499999997,623.71375,567.0125,53350.206125,65937.883625,4725.104166666667,2205.0486111111113,72868.03640277778
57201.25,4055.5686250000003,4061.2887499999997,629.21375,572.0125,53820.656125,66519.333625,4766.770833333333,2224.4930555555557,73510.59751388889
57701.25,4091.018625,4096.78875,634.71375,577.0125,54291.106125,67100.783625,4808.4375,2243.9375,74153.158625
58201.25,4126.468625,4132.28875,640.21375,582.0125,54761.556125,67682.233625,4850.104166666667,2263.3819444444443,74795.7197361111
58701.25,4161.918625,4167.78875,645.71375,587.0125,55232.006125,68263.68362499999,4891.770833333333,2282.8263888888887,75438.28084722221
59201.25,4197.368625,4203.28875,651.21375,592.0125,55702.456125,68845.133625,4933.4375,2302.2708333333335,76080.84195833333
59701.25,4232.818625,4238.78875,656.71375,597.0125,56172.906125,69426.58362499998,4975.104166666667,2321.715277777778,76723.40306944444
60201.25,4268.268625000001,4274.28875,662.21375,602.0125,56643.356125,70008.033625,5016.770833333333,2341.159722222222,77365.96418055554
60701.25,4303.718625,4309.78875,667.71375,607.0125,57113.806125,70589.483625,5058.4375,2360.6041666666665,78008.525291666665
